year_month,provincia_origen,total_animales
2018-01-01,Buenos Aires,995298
2018-01-01,Catamarca,7371
2018-01-01,Chaco,73789
2018-01-01,Chubut,11133
2018-01-01,Ciudad Autónoma de Buenos Aires,104855
2018-01-01,Corrientes,124009
2018-01-01,Córdoba,316071
2018-01-01,Entre Ríos,212924
2018-01-01,Formosa,33440
2018-01-01,Jujuy,1151
2018-01-01,La Pampa,176394
2018-01-01,La Rioja,4738
2018-01-01,Mendoza,22474
2018-01-01,Misiones,8446
2018-01-01,Neuquén,7536
2018-01-01,Río Negro,29910
2018-01-01,Salta,46978
2018-01-01,San Juan,900
2018-01-01,San Luis,93740
2018-01-01,Santa Cruz,1409
2018-01-01,Santa Fe,337067
2018-01-01,Santiago del Estero,55255
2018-01-01,Tierra del Fuego,623
2018-01-01,Tucumán,8300
2018-02-01,Buenos Aires,1070993
2018-02-01,Catamarca,7172
2018-02-01,Chaco,108254
2018-02-01,Chubut,9279
2018-02-01,Ciudad Autónoma de Buenos Aires,99646
2018-02-01,Corrientes,133303
2018-02-01,Córdoba,334210
2018-02-01,Entre Ríos,271021
2018-02-01,Formosa,56104
2018-02-01,Jujuy,1244
2018-02-01,La Pampa,216352
2018-02-01,La Rioja,4959
2018-02-01,Mendoza,13388
2018-02-01,Misiones,12108
2018-02-01,Neuquén,4496
2018-02-01,Río Negro,29424
2018-02-01,Salta,39155
2018-02-01,San Juan,847
2018-02-01,San Luis,110303
2018-02-01,Santa Cruz,1950
2018-02-01,Santa Fe,376594
2018-02-01,Santiago del Estero,65092
2018-02-01,Tierra del Fuego,706
2018-02-01,Tucumán,7619
2018-03-01,Buenos Aires,1492368
2018-03-01,Catamarca,7823
2018-03-01,Chaco,102548
2018-03-01,Chubut,11397
2018-03-01,Ciudad Autónoma de Buenos Aires,100632
2018-03-01,Corrientes,171732
2018-03-01,Córdoba,384912
2018-03-01,Entre Ríos,281421
2018-03-01,Formosa,40360
2018-03-01,Jujuy,1347
2018-03-01,La Pampa,222296
2018-03-01,La Rioja,5696
2018-03-01,Mendoza,27368
2018-03-01,Misiones,9594
2018-03-01,Neuquén,6556
2018-03-01,Río Negro,47192
2018-03-01,Salta,44128
2018-03-01,San Juan,1279
2018-03-01,San Luis,100265
2018-03-01,Santa Cruz,2080
2018-03-01,Santa Fe,380578
2018-03-01,Santiago del Estero,68812
2018-03-01,Tierra del Fuego,1147
2018-03-01,Tucumán,9021
2018-04-01,Buenos Aires,1420483
2018-04-01,Catamarca,13084
2018-04-01,Chaco,136654
2018-04-01,Chubut,18238
2018-04-01,Ciudad Autónoma de Buenos Aires,95393
2018-04-01,Corrientes,222851
2018-04-01,Córdoba,404808
2018-04-01,Entre Ríos,282563
2018-04-01,Formosa,75367
2018-04-01,Jujuy,906
2018-04-01,La Pampa,289402
2018-04-01,La Rioja,5023
2018-04-01,Mendoza,38564
2018-04-01,Misiones,15254
2018-04-01,Neuquén,10204
2018-04-01,Río Negro,49450
2018-04-01,Salta,46852
2018-04-01,San Juan,1193
2018-04-01,San Luis,145759
2018-04-01,Santa Cruz,6343
2018-04-01,Santa Fe,419207
2018-04-01,Santiago del Estero,88429
2018-04-01,Tierra del Fuego,3865
2018-04-01,Tucumán,8836
2018-05-01,Buenos Aires,1469495
2018-05-01,Catamarca,14897
2018-05-01,Chaco,136380
2018-05-01,Chubut,29424
2018-05-01,Ciudad Autónoma de Buenos Aires,113307
2018-05-01,Corrientes,205435
2018-05-01,Córdoba,389071
2018-05-01,Entre Ríos,240595
2018-05-01,Formosa,58269
2018-05-01,Jujuy,1536
2018-05-01,La Pampa,232684
2018-05-01,La Rioja,8582
2018-05-01,Mendoza,44893
2018-05-01,Misiones,11867
2018-05-01,Neuquén,15976
2018-05-01,Río Negro,32951
2018-05-01,Salta,69662
2018-05-01,San Juan,1319
2018-05-01,San Luis,130613
2018-05-01,Santa Cruz,9974
2018-05-01,Santa Fe,380694
2018-05-01,Santiago del Estero,95149
2018-05-01,Tierra del Fuego,4999
2018-05-01,Tucumán,10174
2018-06-01,Buenos Aires,1341274
2018-06-01,Catamarca,11701
2018-06-01,Chaco,155480
2018-06-01,Chubut,16694
2018-06-01,Ciudad Autónoma de Buenos Aires,115051
2018-06-01,Corrientes,213130
2018-06-01,Córdoba,380546
2018-06-01,Entre Ríos,286956
2018-06-01,Formosa,79516
2018-06-01,Jujuy,1485
2018-06-01,La Pampa,217797
2018-06-01,La Rioja,10275
2018-06-01,Mendoza,28442
2018-06-01,Misiones,12081
2018-06-01,Neuquén,7389
2018-06-01,Río Negro,33222
2018-06-01,Salta,65110
2018-06-01,San Juan,1309
2018-06-01,San Luis,132742
2018-06-01,Santa Cruz,5990
2018-06-01,Santa Fe,432779
2018-06-01,Santiago del Estero,95761
2018-06-01,Tierra del Fuego,2141
2018-06-01,Tucumán,8780
2018-07-01,Buenos Aires,1048855
2018-07-01,Catamarca,12290
2018-07-01,Chaco,124250
2018-07-01,Chubut,12080
2018-07-01,Ciudad Autónoma de Buenos Aires,106353
2018-07-01,Corrientes,139023
2018-07-01,Córdoba,381696
2018-07-01,Entre Ríos,230821
2018-07-01,Formosa,58325
2018-07-01,Jujuy,1930
2018-07-01,La Pampa,184884
2018-07-01,La Rioja,9228
2018-07-01,Mendoza,29947
2018-07-01,Misiones,9884
2018-07-01,Neuquén,5897
2018-07-01,Río Negro,27720
2018-07-01,Salta,71025
2018-07-01,San Juan,2062
2018-07-01,San Luis,108617
2018-07-01,Santa Cruz,2932
2018-07-01,Santa Fe,398108
2018-07-01,Santiago del Estero,92257
2018-07-01,Tierra del Fuego,1234
2018-07-01,Tucumán,8725
2018-08-01,Buenos Aires,1083015
2018-08-01,Catamarca,12143
2018-08-01,Chaco,117983
2018-08-01,Chubut,11537
2018-08-01,Ciudad Autónoma de Buenos Aires,124273
2018-08-01,Corrientes,143756
2018-08-01,Córdoba,379105
2018-08-01,Entre Ríos,242875
2018-08-01,Formosa,53107
2018-08-01,Jujuy,1229
2018-08-01,La Pampa,176677
2018-08-01,La Rioja,10695
2018-08-01,Mendoza,32125
2018-08-01,Misiones,11081
2018-08-01,Neuquén,3723
2018-08-01,Río Negro,36835
2018-08-01,Salta,64941
2018-08-01,San Juan,1720
2018-08-01,San Luis,111390
2018-08-01,Santa Cruz,2072
2018-08-01,Santa Fe,400317
2018-08-01,Santiago del Estero,86258
2018-08-01,Tierra del Fuego,876
2018-08-01,Tucumán,8680
2018-09-01,Buenos Aires,971647
2018-09-01,Catamarca,7369
2018-09-01,Chaco,96371
2018-09-01,Chubut,10945
2018-09-01,Ciudad Autónoma de Buenos Aires,103044
2018-09-01,Corrientes,120082
2018-09-01,Córdoba,351749
2018-09-01,Entre Ríos,241634
2018-09-01,Formosa,48031
2018-09-01,Jujuy,1115
2018-09-01,La Pampa,162651
2018-09-01,La Rioja,9249
2018-09-01,Mendoza,21821
2018-09-01,Misiones,7383
2018-09-01,Neuquén,2805
2018-09-01,Río Negro,28577
2018-09-01,Salta,67523
2018-09-01,San Juan,1687
2018-09-01,San Luis,89145
2018-09-01,Santa Cruz,1822
2018-09-01,Santa Fe,368902
2018-09-01,Santiago del Estero,68914
2018-09-01,Tierra del Fuego,663
2018-09-01,Tucumán,8068
2018-10-01,Buenos Aires,1071278
2018-10-01,Catamarca,8052
2018-10-01,Chaco,92289
2018-10-01,Chubut,12705
2018-10-01,Ciudad Autónoma de Buenos Aires,115130
2018-10-01,Corrientes,127798
2018-10-01,Córdoba,363267
2018-10-01,Entre Ríos,234631
2018-10-01,Formosa,33125
2018-10-01,Jujuy,1915
2018-10-01,La Pampa,181348
2018-10-01,La Rioja,8138
2018-10-01,Mendoza,25272
2018-10-01,Misiones,7733
2018-10-01,Neuquén,5568
2018-10-01,Río Negro,32339
2018-10-01,Salta,78580
2018-10-01,San Juan,1159
2018-10-01,San Luis,99037
2018-10-01,Santa Cruz,1388
2018-10-01,Santa Fe,340024
2018-10-01,Santiago del Estero,72745
2018-10-01,Tierra del Fuego,496
2018-10-01,Tucumán,8030
2018-11-01,Buenos Aires,879278
2018-11-01,Catamarca,6864
2018-11-01,Chaco,83616
2018-11-01,Chubut,12670
2018-11-01,Ciudad Autónoma de Buenos Aires,103901
2018-11-01,Corrientes,122580
2018-11-01,Córdoba,318306
2018-11-01,Entre Ríos,207488
2018-11-01,Formosa,47252
2018-11-01,Jujuy,1304
2018-11-01,La Pampa,144457
2018-11-01,La Rioja,4664
2018-11-01,Mendoza,20255
2018-11-01,Misiones,8241
2018-11-01,Neuquén,5174
2018-11-01,Río Negro,35533
2018-11-01,Salta,55769
2018-11-01,San Juan,1542
2018-11-01,San Luis,87152
2018-11-01,Santa Cruz,2782
2018-11-01,Santa Fe,317758
2018-11-01,Santiago del Estero,65357
2018-11-01,Tierra del Fuego,1070
2018-11-01,Tucumán,8632
2018-12-01,Buenos Aires,1006966
2018-12-01,Catamarca,10676
2018-12-01,Chaco,83831
2018-12-01,Chubut,15940
2018-12-01,Ciudad Autónoma de Buenos Aires,103981
2018-12-01,Corrientes,132738
2018-12-01,Córdoba,356065
2018-12-01,Entre Ríos,207932
2018-12-01,Formosa,45069
2018-12-01,Jujuy,1606
2018-12-01,La Pampa,168881
2018-12-01,La Rioja,5082
2018-12-01,Mendoza,20429
2018-12-01,Misiones,7546
2018-12-01,Neuquén,6105
2018-12-01,Río Negro,36852
2018-12-01,Salta,58666
2018-12-01,San Juan,1379
2018-12-01,San Luis,88643
2018-12-01,Santa Cruz,1640
2018-12-01,Santa Fe,332976
2018-12-01,Santiago del Estero,78642
